optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
COBYLA,4,2,3.658974748188548e-09,1.0,1.596968412399292,20,2,1.9999999963410253,0.9999999981705127
COBYLA,8,2,1.370062813199624e-10,1.0,4.060070991516113,20,2,1.9999999998629938,0.9999999999314969
COBYLA,16,2,2.7960231352430757e-11,1.0,8.936738729476929,20,2,1.9999999999720397,0.9999999999860198
COBYLA,1,2,7.858377525093997e-08,1.0,1.1519010066986084,21,2,1.9999999214162247,0.9999999607081124
COBYLA,2,2,1.1147519296539343e-09,1.0,1.1521117687225342,21,2,1.9999999988852482,0.9999999994426241
COBYLA,4,2,1.3617584421199423e-09,1.0,1.645050287246704,21,2,1.9999999986382415,0.9999999993191208
COBYLA,8,2,2.1963197927021842e-09,1.0,4.108632326126099,21,2,1.9999999978036802,0.9999999989018401
COBYLA,16,2,2.319811009954265e-12,1.0,9.899458885192873,21,2,1.99999999999768,0.99999999999884
COBYLA,1,2,2.3520518865893786e-10,1.0,1.2888503074645996,22,2,1.9999999997647948,0.9999999998823974
COBYLA,2,2,2.8408418395464707e-09,1.0,0.9731638431549072,22,2,1.9999999971591582,0.9999999985795791
COBYLA,4,2,1.1985942793835136e-10,1.0,1.7777485847473145,22,2,1.9999999998801405,0.9999999999400703
COBYLA,8,2,2.2451594750005907e-10,1.0,3.446859836578369,22,2,1.999999999775484,0.999999999887742
COBYLA,16,2,3.5614983184828475e-11,1.0,11.337538480758669,22,2,1.999999999964385,0.9999999999821925
COBYLA,1,2,7.428514040008771e-09,1.0,1.3323025703430176,23,2,1.999999992571486,0.999999996285743
COBYLA,2,2,1.7018770975818496e-09,1.0,1.0070185661315918,23,2,1.999999998298123,0.9999999991490615
COBYLA,4,2,6.24159432471849e-10,1.0,1.665766954421997,23,2,1.9999999993758406,0.9999999996879203
COBYLA,8,2,1.3163451689779393e-08,1.0,3.470764398574829,23,2,1.9999999868365483,0.9999999934182742
COBYLA,16,2,8.837111598047898e-12,1.0,9.105976819992064,23,2,1.9999999999911628,0.9999999999955814
COBYLA,1,2,2.6230443955777005e-08,1.0,-0.4552845954895019,24,2,1.999999973769556,0.999999986884778
COBYLA,2,2,3.355640014052197e-07,1.0,1.1796467304229736,24,2,1.9999996644359985,0.9999998322179993
COBYLA,4,2,2.7431211163664315e-08,1.0,1.6108551025390625,24,2,1.999999972568789,0.9999999862843945
COBYLA,8,2,6.559407184081323e-11,1.0,4.214707374572754,24,2,1.999999999934406,0.999999999967203
COBYLA,16,2,1.0338813138943692e-11,1.0,12.85769009590149,24,2,1.9999999999896612,0.9999999999948306
COBYLA,1,2,1.889776955754652e-08,1.0,1.366346836090088,25,2,1.9999999811022304,0.9999999905511152
COBYLA,2,2,1.712532037012604e-08,1.0,0.9720871448516846,25,2,1.9999999828746797,0.9999999914373399
COBYLA,4,2,2.509890906221557e-10,1.0,1.729963779449463,25,2,1.999999999749011,0.9999999998745055
COBYLA,8,2,2.0581135407038429e-10,1.0,3.4475226402282715,25,2,1.9999999997941886,0.9999999998970943
COBYLA,16,2,5.555892967912256e-10,1.0,8.5072922706604,25,2,1.9999999994444106,0.9999999997222053
COBYLA,1,2,3.999190201220415e-09,1.0,1.274235725402832,26,2,1.9999999960008097,0.9999999980004048
COBYLA,2,2,2.9856572769659806e-10,1.0,0.902479887008667,26,2,1.9999999997014344,0.9999999998507172
COBYLA,4,2,5.412081061084706e-10,1.0,1.8333237171173096,26,2,1.9999999994587918,0.9999999997293959
COBYLA,8,2,9.517039933903959e-12,1.0,3.8925163745880127,26,2,1.999999999990483,0.9999999999952415
COBYLA,16,2,5.566241911836299e-13,1.0,11.29423189163208,26,2,1.9999999999994433,0.9999999999997217
COBYLA,1,2,1.4104847456675174e-08,1.0,1.615251064300537,27,2,1.9999999858951525,0.9999999929475762
COBYLA,2,2,7.800521728551502e-09,1.0,1.069571018218994,27,2,1.9999999921994782,0.9999999960997391
COBYLA,4,2,1.5900009364688827e-09,1.0,1.5300283432006836,27,2,1.999999998409999,0.9999999992049995
COBYLA,8,2,1.1552177825446819e-09,1.0,4.2574238777160645,27,2,1.9999999988447823,0.9999999994223912
COBYLA,16,2,9.052751603899624e-11,1.0,12.398170709609984,27,2,1.9999999999094724,0.9999999999547362
COBYLA,1,2,6.099222260580461e-08,1.0,1.2060861587524414,28,2,1.9999999390077774,0.9999999695038887
COBYLA,2,2,2.64928773363593e-10,1.0,0.98874831199646,28,2,1.9999999997350713,0.9999999998675356
COBYLA,4,2,1.0537603012394923e-09,1.0,1.6434247493743896,28,2,1.9999999989462398,0.9999999994731199
COBYLA,8,2,1.0581045664648236e-08,1.0,3.244767427444458,28,2,1.9999999894189544,0.9999999947094772
COBYLA,16,2,3.5575431489576204e-12,1.0,9.7781982421875,28,2,1.9999999999964424,0.9999999999982212
COBYLA,1,2,0.4077479011208832,0.58984375,2.55074143409729,29,2,1.5922520988791167,0.7961260494395583
COBYLA,2,2,6.8484600698262565e-06,1.0,16.20118761062622,29,2,1.99999315153993,0.999996575769965
COBYLA,4,2,1.8476581927981408e-06,1.0,3.130530834197998,29,2,1.9999981523418071,0.9999990761709036
COBYLA,8,2,1.0504638218652995e-06,1.0,5.66985011100769,29,2,1.999998949536178,0.999999474768089
COBYLA,16,2,7.949741413076916e-07,1.0,10.65226125717163,29,2,1.9999992050258586,0.9999996025129293
COBYLA,1,2,1.7516479933199491e-10,1.0,1.59814453125,30,2,1.9999999998248352,0.9999999999124176
COBYLA,2,2,3.343917451270606e-08,1.0,1.2819702625274658,30,2,1.9999999665608255,0.9999999832804127
COBYLA,4,2,6.903086990917018e-10,1.0,1.474079132080078,30,2,1.9999999993096913,0.9999999996548457
COBYLA,8,2,1.96088395520988e-10,1.0,3.604551792144776,30,2,1.9999999998039115,0.9999999999019558
COBYLA,16,2,2.711819102607649e-10,1.0,9.100786447525024,30,2,1.999999999728818,0.999999999864409
COBYLA,1,2,0.0282932420275691,0.9853515625,0.9649980068206788,31,2,1.971706757972431,0.9858533789862155
COBYLA,2,2,2.565693106859613e-07,1.0,14.141942501068115,31,2,1.9999997434306893,0.9999998717153447
COBYLA,4,2,2.6053538826342763e-08,1.0,3.019959688186645,31,2,1.9999999739464611,0.9999999869732306
COBYLA,8,2,8.055700551068412e-11,1.0,3.419469356536865,31,2,1.999999999919443,0.9999999999597216
COBYLA,16,2,3.700858508537408e-09,1.0,10.23468804359436,31,2,1.9999999962991415,0.9999999981495707
COBYLA,1,2,0.028293229638697,0.9736328125,1.026757001876831,32,2,1.971706770361303,0.9858533851806515
