optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,8,2,1.6340545749837787e-08,1.0,0.5203685760498047,41
L-BFGS-B,16,2,1.0347078829853196e-07,1.0,2.04288911819458,41
L-BFGS-B,1,2,0.028293229015530955,0.9833984375,0.17161798477172852,42
L-BFGS-B,2,2,3.404609927315505e-12,1.0,0.5714156627655029,42
L-BFGS-B,4,2,1.3186903791151394e-09,1.0,0.2651798725128174,42
L-BFGS-B,8,2,1.1648981779188716e-10,1.0,0.9311258792877197,42
L-BFGS-B,16,2,5.760275034738527e-10,1.0,3.168637275695801,42
L-BFGS-B,1,2,0.05995685174323234,0.93359375,0.15912127494812012,43
L-BFGS-B,2,2,1.3198798998192984e-09,1.0,0.6684801578521729,43
L-BFGS-B,4,2,5.154189325340397e-09,1.0,0.28168535232543945,43
L-BFGS-B,8,2,2.1660965798808718e-09,1.0,0.7560131549835205,43
L-BFGS-B,16,2,1.0643927184084134e-08,1.0,3.152125597000122,43
L-BFGS-B,1,2,1.8318679906315083e-15,1.0,0.17412614822387695,44
L-BFGS-B,2,2,2.836619827917275e-14,1.0,0.16111040115356445,44
L-BFGS-B,4,2,1.7601198276651076e-13,1.0,0.2321460247039795,44
L-BFGS-B,8,2,3.19190673891967e-09,1.0,0.5088305473327637,44
L-BFGS-B,16,2,2.3406918764345974e-08,1.0,1.7872207164764404,44
L-BFGS-B,1,2,5.190292640122607e-15,1.0,0.17612123489379883,45
L-BFGS-B,2,2,5.611344722211697e-13,1.0,0.1986246109008789,45
L-BFGS-B,4,2,9.494210972960104e-13,1.0,0.3387157917022705,45
L-BFGS-B,8,2,1.047928410713439e-11,1.0,1.0282106399536133,45
L-BFGS-B,16,2,1.2895226553233385e-11,1.0,3.3525378704071045,45
L-BFGS-B,1,2,1.2882597766328274e-11,1.0,0.21614670753479004,46
L-BFGS-B,2,2,9.893239005798193e-12,1.0,0.17110753059387207,46
L-BFGS-B,4,2,1.3489077910211478e-10,1.0,0.2706716060638428,46
L-BFGS-B,8,2,3.3105395924604153e-09,1.0,0.6414308547973633,46
L-BFGS-B,16,2,6.928953105722613e-10,1.0,2.1950345039367676,46
L-BFGS-B,1,2,4.0036168824642004e-12,1.0,0.19563746452331543,47
L-BFGS-B,2,2,1.1364744353925538e-08,1.0,0.14358806610107422,47
L-BFGS-B,4,2,1.5220011292949032e-08,1.0,0.23566198348999023,47
L-BFGS-B,8,2,8.292116993047216e-13,1.0,0.9491617679595947,47
L-BFGS-B,16,2,1.5636629990822826e-08,1.0,1.8583030700683594,47
L-BFGS-B,1,2,2.204902926905561e-13,1.0,0.18213367462158203,48
L-BFGS-B,2,2,1.6463497232166446e-12,1.0,0.18712282180786133,48
L-BFGS-B,4,2,1.5838886868735358e-09,1.0,0.2912125587463379,48
L-BFGS-B,8,2,5.892064613988168e-12,1.0,0.9171161651611328,48
L-BFGS-B,16,2,8.062526729579744e-09,1.0,1.8736681938171387,48
L-BFGS-B,1,2,2.5422441929379147e-12,1.0,0.22916316986083984,49
L-BFGS-B,2,2,1.0876076761423548e-08,1.0,0.1716303825378418,49
L-BFGS-B,4,2,5.63596391778276e-12,1.0,0.39228343963623047,49
L-BFGS-B,8,2,8.174323967713448e-09,1.0,0.5008172988891602,49
L-BFGS-B,16,2,4.3003310634670555e-10,1.0,1.7767770290374756,49
L-BFGS-B,1,2,2.0592097471627824e-11,1.0,0.20764613151550293,50
L-BFGS-B,2,2,4.091699201680399e-12,1.0,0.1716146469116211,50
L-BFGS-B,4,2,2.186209546728435e-12,1.0,0.41028618812561035,50
L-BFGS-B,8,2,8.54494253132998e-12,1.0,1.0224213600158691,50
L-BFGS-B,16,2,1.2628606493869654e-11,1.0,3.828885793685913,50
L-BFGS-B,1,2,6.9750039077831616e-12,1.0,0.16311001777648926,51
L-BFGS-B,2,2,1.8446795341242606e-09,1.0,0.1581096649169922,51
L-BFGS-B,4,2,1.3944401189291966e-13,1.0,0.2922182083129883,51
L-BFGS-B,8,2,9.519411814373768e-09,1.0,0.6314663887023926,51
L-BFGS-B,16,2,5.9255610168618134e-08,1.0,1.7576661109924316,51
L-BFGS-B,1,2,0.028293229040290926,0.982421875,0.18262481689453125,52
L-BFGS-B,2,2,5.202088759759249e-13,1.0,0.5213801860809326,52
L-BFGS-B,4,2,4.1766738678727933e-10,1.0,0.31221723556518555,52
L-BFGS-B,8,2,1.5900517708056228e-09,1.0,0.6779708862304688,52
L-BFGS-B,16,2,8.85528317340345e-11,1.0,1.7059483528137207,52
L-BFGS-B,1,2,1.977751296067254e-12,1.0,0.1771252155303955,53
L-BFGS-B,2,2,4.179403351178834e-10,1.0,0.1556077003479004,53
L-BFGS-B,4,2,8.524993211356247e-11,1.0,0.2687225341796875,53
L-BFGS-B,8,2,1.197448057377315e-09,1.0,0.8280885219573975,53
L-BFGS-B,16,2,4.884044590980352e-08,1.0,1.988739252090454,53
L-BFGS-B,1,2,0.05995685174146134,0.9287109375,0.20065784454345703,54
L-BFGS-B,2,2,1.867955790046949e-11,1.0,0.5523607730865479,54
L-BFGS-B,4,2,2.9557617464703867e-09,1.0,0.383131742477417,54
L-BFGS-B,8,2,5.929994717490672e-09,1.0,0.8521027565002441,54
L-BFGS-B,16,2,2.3993364517416182e-09,1.0,3.061392068862915,54
L-BFGS-B,1,2,1.929789661403447e-12,1.0,0.18480134010314941,55
L-BFGS-B,2,2,9.975659326366682e-10,1.0,0.15818524360656738,55
L-BFGS-B,4,2,1.6155788512550728e-09,1.0,0.2827298641204834,55
L-BFGS-B,8,2,2.772226892489016e-13,1.0,1.015352487564087,55
L-BFGS-B,16,2,3.44137576768766e-08,1.0,2.0442490577697754,55
L-BFGS-B,1,2,1.4706152962062902e-12,1.0,0.23531532287597656,56
L-BFGS-B,2,2,9.705646564217574e-10,1.0,0.16193056106567383,56
L-BFGS-B,4,2,2.5199176079127028e-11,1.0,0.34712791442871094,56
L-BFGS-B,8,2,9.432464517789008e-09,1.0,0.7192599773406982,56
L-BFGS-B,16,2,2.331776415009923e-08,1.0,2.037787437438965,56
L-BFGS-B,1,2,0.05995685173856172,0.9462890625,0.13524675369262695,57
L-BFGS-B,2,2,1.4498124922823763e-11,1.0,0.5164487361907959,57
L-BFGS-B,4,2,3.929356284793073e-10,1.0,0.24917244911193848,57
L-BFGS-B,8,2,1.9961279018598788e-09,1.0,1.0741972923278809,57
L-BFGS-B,16,2,2.4208479665333016e-10,1.0,2.0870096683502197,57
L-BFGS-B,1,2,2.3495552725627533e-11,1.0,0.20469117164611816,58
L-BFGS-B,2,2,2.387534614456399e-13,1.0,0.2464158535003662,58
L-BFGS-B,4,2,7.289169268176465e-13,1.0,0.4229447841644287,58
L-BFGS-B,8,2,4.890783056321624e-10,1.0,0.6097490787506104,58
L-BFGS-B,16,2,1.211303077286452e-08,1.0,2.2073283195495605,58
L-BFGS-B,1,2,1.104949465258187e-13,1.0,0.25032567977905273,59
L-BFGS-B,2,2,1.3117625319303272e-09,1.0,0.18463349342346191,59
L-BFGS-B,4,2,2.6961544108417e-11,1.0,0.2726707458496094,59
L-BFGS-B,8,2,6.302208754860317e-12,1.0,1.0544066429138184,59
L-BFGS-B,16,2,3.4752478672572806e-12,1.0,1.918318271636963,59
L-BFGS-B,1,2,0.059956851741414185,0.939453125,0.2245628833770752,60
L-BFGS-B,2,2,2.0287105328975485e-12,1.0,0.6074044704437256,60
L-BFGS-B,4,2,1.2539872751293757e-09,1.0,0.3600139617919922,60
L-BFGS-B,8,2,6.57659995906279e-09,1.0,0.8696877956390381,60
L-BFGS-B,16,2,7.897963089087412e-09,1.0,0.9342508316040039,60
L-BFGS-B,1,2,0.02829322901541831,0.982421875,0.17517614364624023,61
L-BFGS-B,2,2,8.124911854423544e-11,1.0,0.6785306930541992,61
L-BFGS-B,4,2,3.129743131324858e-10,1.0,0.3439784049987793,61
L-BFGS-B,8,2,3.83049802987756e-09,1.0,1.3285279273986816,61
L-BFGS-B,16,2,1.8070656082613823e-11,1.0,4.819109916687012,61
L-BFGS-B,1,2,7.514822097931528e-14,1.0,0.28561854362487793,62
L-BFGS-B,2,2,1.8169077353746843e-12,1.0,0.19310474395751953,62
L-BFGS-B,4,2,5.268632891075598e-10,1.0,0.2873861789703369,62
L-BFGS-B,8,2,1.6099828872850885e-08,1.0,0.6409127712249756,62
L-BFGS-B,16,2,1.7339752689249366e-09,1.0,1.570408821105957,62
L-BFGS-B,1,2,2.831068712794149e-15,1.0,0.18717217445373535,63
L-BFGS-B,2,2,1.0735357047764182e-11,1.0,0.18940997123718262,63
L-BFGS-B,4,2,5.3985596271122205e-09,1.0,0.3171355724334717,63
L-BFGS-B,8,2,2.287589423444203e-10,1.0,0.8326559066772461,63
L-BFGS-B,16,2,7.761132389538794e-09,1.0,1.8676302433013916,63
L-BFGS-B,1,2,2.7229302146380974e-11,1.0,0.1587231159210205,64
