optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,1,2,0.0,0.26,34,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.2,34,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.38,34,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.55,34,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.56,34,2,2.0,1.0
L-BFGS-B,1,2,0.06,0.29,35,2,1.94,0.97
L-BFGS-B,2,2,0.0,0.89,35,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.43,35,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.69,35,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.31,35,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.45,36,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.36,36,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.72,36,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.37,36,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.18,36,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.6,37,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.32,37,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.76,37,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.86,37,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.26,37,2,2.0,1.0
L-BFGS-B,1,2,0.0283,0.55,38,2,1.9717,0.98585
L-BFGS-B,2,2,0.0,1.34,38,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.66,38,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.2,38,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.79,38,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.51,39,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.32,39,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.37,39,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.69,39,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.03,39,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.65,40,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.35,40,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.77,40,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.63,40,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.19,40,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.41,41,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.3,41,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.5,41,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.93,41,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.29,41,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.4,42,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.35,42,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.79,42,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.66,42,2,2.0,1.0
L-BFGS-B,16,2,0.0,5.39,42,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.54,43,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.36,43,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.56,43,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.88,43,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.21,43,2,2.0,1.0
L-BFGS-B,1,2,0.0283,0.5,44,2,1.9717,0.98585
L-BFGS-B,2,2,0.0,1.74,44,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.38,44,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.73,44,2,2.0,1.0
L-BFGS-B,16,2,0.0,7.05,44,2,2.0,1.0
