optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
SPSA,2,10,1.155796418649077,0.25390625,94.00678157806396,8,10,8.844203581350923,0.8844203581350923
SPSA,4,10,0.22026347670375035,0.8046875,127.77011680603027,8,10,9.77973652329625,0.9779736523296251
SPSA,8,10,0.1752617218907585,0.833984375,197.38236284255981,8,10,9.824738278109242,0.9824738278109242
SPSA,16,10,0.14579352208271978,0.90625,345.98412704467773,8,10,9.85420647791728,0.985420647791728
SPSA,1,10,1.2245207931340463,0.275390625,79.53159308433533,9,10,8.775479206865954,0.8775479206865955
SPSA,2,10,0.12655869100667488,0.896484375,99.30816912651062,9,10,9.873441308993325,0.9873441308993325
SPSA,4,10,0.10598274097880414,0.904296875,133.42723202705383,9,10,9.894017259021195,0.9894017259021195
SPSA,8,10,0.20149584835354128,0.79296875,205.4890012741089,9,10,9.798504151646458,0.9798504151646459
SPSA,16,10,0.08055952545174089,0.953125,344.3504798412323,9,10,9.919440474548258,0.9919440474548258
SPSA,1,10,1.104737539461132,0.388671875,77.9449200630188,10,10,8.895262460538868,0.8895262460538869
SPSA,2,10,0.164740991567846,0.8662109375,92.53718447685242,10,10,9.835259008432153,0.9835259008432153
SPSA,4,10,0.3199852833948111,0.7724609375,125.76717233657837,10,10,9.68001471660519,0.968001471660519
SPSA,8,10,0.14245185287698436,0.8994140625,190.9688436985016,10,10,9.857548147123016,0.9857548147123015
SPSA,16,10,0.059251471218687624,0.953125,326.008670091629,10,10,9.940748528781313,0.9940748528781314
SPSA,1,10,0.19484100182905398,0.833984375,87.73922824859619,11,10,9.805158998170945,0.9805158998170945
SPSA,2,10,0.17933690473633218,0.84765625,106.29566311836243,11,10,9.820663095263669,0.9820663095263669
SPSA,4,10,0.018104393876149157,0.9873046875,143.71671986579895,11,10,9.981895606123851,0.9981895606123852
SPSA,8,10,0.04054798879135998,0.9658203125,220.94363570213318,11,10,9.95945201120864,0.995945201120864
SPSA,16,10,0.045588906623503025,0.9619140625,381.14864444732666,11,10,9.954411093376496,0.9954411093376496
SPSA,1,10,0.28496844856119374,0.7861328125,77.28433322906494,12,10,9.715031551438805,0.9715031551438805
SPSA,2,10,0.27870971428584085,0.755859375,93.5885169506073,12,10,9.72129028571416,0.9721290285714159
SPSA,4,10,0.04611027795768477,0.9716796875,132.8593888282776,12,10,9.953889722042316,0.9953889722042316
SPSA,8,10,0.10694201737814146,0.892578125,196.65769338607788,12,10,9.893057982621858,0.9893057982621858
SPSA,16,10,0.0774456195047793,0.9462890625,330.9173502922058,12,10,9.922554380495221,0.9922554380495221
SPSA,1,10,0.29058214904256535,0.7666015625,44.9488046169281,13,10,9.709417850957434,0.9709417850957435
SPSA,2,10,1.1681124508192797,0.228515625,109.8617377281189,13,10,8.83188754918072,0.883188754918072
SPSA,4,10,0.15966890659533128,0.86328125,145.36718153953552,13,10,9.840331093404668,0.9840331093404668
SPSA,8,10,0.08107698851256595,0.9326171875,224.4248411655426,13,10,9.918923011487434,0.9918923011487435
SPSA,16,10,0.059039714584133623,0.951171875,382.35136699676514,13,10,9.940960285415866,0.9940960285415865
SPSA,1,10,0.22241231123187014,0.8271484375,88.24258780479431,14,10,9.77758768876813,0.9777587688768129
SPSA,2,10,0.17002488752678757,0.87109375,108.66721844673157,14,10,9.829975112473212,0.9829975112473213
SPSA,4,10,0.029130719791415627,0.982421875,145.1379897594452,14,10,9.970869280208584,0.9970869280208584
SPSA,8,10,0.0447168740822787,0.9619140625,224.8703978061676,14,10,9.955283125917722,0.9955283125917722
SPSA,16,10,0.08069433830514727,0.939453125,379.60837984085083,14,10,9.919305661694853,0.9919305661694853
SPSA,1,10,1.11321186012964,0.2802734375,70.85405397415161,15,10,8.88678813987036,0.888678813987036
SPSA,2,10,0.9582035931772865,0.341796875,85.4120147228241,15,10,9.041796406822714,0.9041796406822714
SPSA,4,10,0.023134698072933085,0.978515625,113.9563934803009,15,10,9.976865301927067,0.9976865301927067
SPSA,8,10,0.04599643575044032,0.9658203125,176.09453463554382,15,10,9.95400356424956,0.995400356424956
SPSA,16,10,0.24940597969689737,0.8095703125,300.22150135040283,15,10,9.750594020303103,0.9750594020303103
SPSA,1,10,0.8496944695355175,0.3935546875,84.71380710601807,16,10,9.150305530464482,0.9150305530464482
SPSA,2,10,0.1567190785639176,0.8486328125,102.30265283584595,16,10,9.843280921436083,0.9843280921436083
SPSA,4,10,0.6543986890557039,0.4853515625,138.01851153373718,16,10,9.345601310944296,0.9345601310944296
SPSA,8,10,0.08044294846900707,0.9228515625,212.90921640396118,16,10,9.919557051530992,0.9919557051530992
SPSA,16,10,0.08156106406901045,0.9287109375,361.2398121356964,16,10,9.91843893593099,0.991843893593099
SPSA,1,10,1.2341535462403468,0.240234375,77.84700322151184,17,10,8.765846453759654,0.8765846453759654
SPSA,2,10,0.9249630917637356,0.408203125,93.86268591880798,17,10,9.075036908236264,0.9075036908236264
